,SpecName,genus,Americas,Asia,Africa,Madagascar,Pacific,accAfrica,moist0_dry1
1,Arenga_microcarpa,Arenga,0,1,0,0,1,0,0
3,Borassus_aethiopum,Borassus,0,0,1,1,0,1,1
5,Calamus_aruensis,Calamus,0,1,0,0,1,0,0
7,Calamus_vitiensis,Calamus,0,1,0,0,1,0,0
9,Calamus_warburgii,Calamus,0,1,0,0,1,0,0
11,Corypha_utan,Corypha,0,1,0,0,1,0,1
13,Heterospathe_elata,Heterospathe,0,1,0,0,1,0,0
15,Hydriastele_costata,Hydriastele,0,1,0,0,1,0,0
17,Hyphaene_coriacea,Hyphaene,0,0,1,1,0,1,1
19,Hyphaene_reptans,Hyphaene,0,1,1,0,0,1,1
21,Livistona_benthamii,Livistona,0,1,0,0,1,0,1
23,Livistona_carinensis,Livistona,0,1,1,0,0,1,1
25,Livistona_muelleri,Livistona,0,1,0,0,1,0,1
27,Metroxylon_salomonense,Metroxylon,0,1,0,0,1,0,0
29,Phoenix_caespitosa,Phoenix,0,1,1,0,0,1,1
31,Phoenix_reclinata,Phoenix,0,1,1,1,0,1,1
34,Pinanga_insignis,Pinanga,0,1,0,0,1,0,0
36,Ptychosperma_macarthurii,Ptychosperma,0,1,0,0,1,0,0
38,Raphia_farinifera,Raphia,0,0,1,1,0,1,0
40,Raphia_taedigera,Raphia,1,0,1,0,0,1,0
