"","regime","model","mean","sd"
"1","Africa","OU1",0.53,0.0887429048871571
"2","Africa","OUM",0.67,0.158476573937278
"3","Africa","OUMV",0.66,0.23026901279275
"4","Africa","OUMVA",0.53,0.232094730361682
"5","Americas","OU1",0.59,0.173735126202055
"6","Americas","OUM",0.78,0.206141193493036
"7","Americas","OUMA",1,NA
"8","Americas","OUMV",0.89,0.18086500279392
"9","Americas","OUMVA",0.92,0.158351920223439
"10","Asia","OU1",0.6,0.103888959127335
"11","Asia","OUM",0.71,0.264702981858348
"12","Asia","OUMA",0.95,0.146208664298426
"13","Asia","OUMV",0.91,0.150004477515238
"14","Asia","OUMVA",0.97,0.0937064043621182
